"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2090692","","","","0"
"2023","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2120248","","","","0"
"2024","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2151780","","","","0"
"2025","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2138350","","","","0"
"2000","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2055843","","","","0"
"2001","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2079498","","","","0"
"2002","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2114426","","","","0"
"2003","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2138756","","","","0"
"2004","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2141408","","","","0"
"2005","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2124210","","","","0"
"2006","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2096088","","","","0"
"2007","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2065719","","","","0"
"2008","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2032017","","","","0"
"2009","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1996430","","","","0"
"2010","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1958874","","","","0"
"2011","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1917116","","","","0"
"2012","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1895615","","","","0"
"2013","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1887081","","","","0"
"2014","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1893854","","","","0"
"2015","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1895854","","","","0"
"2016","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1920169","","","","0"
"2017","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1952245","","","","0"
"2018","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2001618","","","","0"
"2019","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2047524","","","","0"
"2020","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2092804","","","","0"
"2021","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2114016","","","","0"
"2022","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2146637","","","","0"
"2023","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2187386","","","","0"
"2024","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2232438","","","","0"
"2025","Canada","2021A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2251628","","","","0"
"2000","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2095909","","","","0"
"2001","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2115979","","","","0"
"2002","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2128137","","","","0"
"2003","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2129666","","","","0"
"2004","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2143814","","","","0"
"2005","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2175863","","","","0"
"2006","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2211500","","","","0"
"2007","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2231886","","","","0"
"2008","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2250647","","","","0"
"2009","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2255456","","","","0"
"2010","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2248646","","","","0"
"2011","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2236579","","","","0"
"2012","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2199349","","","","0"
"2013","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2158367","","","","0"
"2014","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2124336","","","","0"
"2015","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2100302","","","","0"
"2016","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2089925","","","","0"
"2017","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2081573","","","","0"
"2018","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2083934","","","","0"
"2019","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2089984","","","","0"
"2020","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2082685","","","","0"
"2021","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2059975","","","","0"
"2022","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2140739","","","","0"
"2023","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2230085","","","","0"
"2024","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2313964","","","","0"
"2025","Canada","2021A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2319393","","","","0"
"2000","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2068377","","","","0"
"2001","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2109094","","","","0"
"2002","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2142283","","","","0"
"2003","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2177912","","","","0"
"2004","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2210771","","","","0"
"2005","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2234087","","","","0"
"2006","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2251704","","","","0"
"2007","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2261099","","","","0"
"2008","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2264280","","","","0"
"2009","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2285648","","","","0"
"2010","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2321697","","","","0"
"2011","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2352455","","","","0"
"2012","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2390447","","","","0"
"2013","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2417497","","","","0"
"2014","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2424267","","","","0"
"2015","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2399432","","","","0"
"2016","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2394672","","","","0"
"2017","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2418375","","","","0"
"2018","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2457110","","","","0"
"2019","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2489653","","","","0"
"2020","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2473470","","","","0"
"2021","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2404398","","","","0"
"2022","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2465156","","","","0"
"2023","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2589895","","","","0"
"2024","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2741716","","","","0"
"2025","Canada","2021A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2703780","","","","0"
"2000","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2074212","","","","0"
"2001","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2073070","","","","0"
"2002","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2085524","","","","0"
"2003","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2098490","","","","0"
"2004","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2124787","","","","0"
"2005","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2150882","","","","0"
"2006","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2184644","","","","0"
"2007","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2224415","","","","0"
"2008","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2272526","","","","0"
"2009","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2321538","","","","0"
"2010","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2357127","","","","0"
"2011","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2368361","","","","0"
"2012","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2383114","","","","0"
"2013","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2392494","","","","0"
"2014","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2413326","","","","0"
"2015","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2432054","","","","0"
"2016","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2469206","","","","0"
"2017","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2520707","","","","0"
"2018","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2591885","","","","0"
"2019","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2653167","","","","0"
"2020","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2679330","","","","0"
"2021","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2674655","","","","0"
"2022","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2747627","","","","0"
"2023","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2897646","","","","0"
"2024","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","3031487","","","","0"
"2025","Canada","2021A000011124","Total - gender","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2995647","","","","0"
"2000","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2253438","","","","0"
"2001","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2240397","","","","0"
"2002","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2231352","","","","0"
"2003","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2214769","","","","0"
"2004","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2194370","","","","0"
"2005","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2181830","","","","0"
"2006","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2171225","","","","0"
"2007","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2181981","","","","0"
"2008","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2207097","","","","0"
"2009","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2245042","","","","0"
"2010","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2282985","","","","0"
"2011","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2326440","","","","0"
"2012","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2366972","","","","0"
"2013","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2409481","","","","0"
"2014","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2444256","","","","0"
"2015","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2456947","","","","0"
"2016","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2484570","","","","0"
"2017","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2507762","","","","0"
"2018","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2544390","","","","0"
"2019","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2598609","","","","0"
"2020","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2660337","","","","0"
"2021","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2704004","","","","0"
"2022","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2805364","","","","0"
"2023","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2984138","","","","0"
"2024","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","3145235","","","","0"
"2025","Canada","2021A000011124","Total - gender","30 to 34 years","Persons","249","units","0","v466797","1.1.43","3175724","","","","0"
"2000","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2688786","","","","0"
"2001","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2639216","","","","0"
"2002","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2578266","","","","0"
"2003","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2490090","","","","0"
"2004","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2406992","","","","0"
"2005","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2346058","","","","0"
"2006","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2322745","","","","0"
"2007","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2306916","","","","0"
"2008","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2299621","","","","0"
"2009","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2287712","","","","0"
"2010","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2282063","","","","0"
"2011","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2272583","","","","0"
"2012","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2291129","","","","0"
"2013","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2315597","","","","0"
"2014","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2346416","","","","0"
"2015","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2368174","","","","0"
"2016","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2405969","","","","0"
"2017","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2451236","","","","0"
"2018","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2512312","","","","0"
"2019","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2573416","","","","0"
"2020","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2618643","","","","0"
"2021","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2643161","","","","0"
"2022","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2699898","","","","0"
"2023","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2809310","","","","0"
"2024","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2950432","","","","0"
"2025","Canada","2021A000011124","Total - gender","35 to 39 years","Persons","249","units","0","v466815","1.1.49","3032523","","","","0"
"2000","Canada","2021A000011124","Total - gender","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2600935","","","","0"
